geoid,lat,lon
P4702404,36.2988847,-86.8348017
P4703200,35.3030848,-86.1119048
P4703500,35.5289982,-84.8974328
P4701101,36.3051195,-82.1408068
P4700401,36.5180127,-86.663152
P4700100,36.2539025,-89.1268789
P4703100,35.3345878,-86.5967282
P4700200,36.1760281,-88.0775529
P4701400,35.8482845,-83.3577126
P4701900,36.1494307,-86.2911813
P4702200,35.6156963,-87.0777632
P4702900,35.3345937,-88.4900997
P4701300,36.1688029,-83.4226176
P4700600,36.2093461,-85.9280339
P4701000,36.5096806,-82.3013363
P4701800,36.0849021,-85.0881726
P4702001,35.8566279,-86.413314
P4700700,36.3510247,-85.3880923
P4700900,36.2949258,-82.8914917
P4701700,36.0380548,-84.4848817
P4702003,35.7408992,-86.2897076
P4702502,35.1300504,-89.9205078
P4702002,35.9741824,-86.5419928
P4702800,35.5434767,-88.7709539
P4700800,36.429701,-83.9904069
P4702504,35.2989882,-89.8848343
P4701502,35.879278,-84.0927428
P4701504,36.0344593,-83.8469741
P4701201,36.3471683,-82.4859071
P4702506,35.0505081,-89.7370167
P4702405,36.0844905,-86.6198308
P4700501,36.3436385,-86.5651435
P4703403,35.2358986,-85.1204485
P4703401,35.0248293,-85.2403853
P4702508,35.0395019,-90.0737566
P4701501,35.991632,-83.9105652
P4700302,36.588903,-87.3875409
P4700301,36.4820146,-87.3832259
P4703700,35.5223462,-84.2652809
P4702403,36.1831868,-86.6504033
P4702406,36.1055843,-86.9076505
P4701600,35.6881849,-83.9229731
P4703402,35.1134983,-85.2217516
P4703300,35.4347202,-85.6289789
P4702102,35.8820839,-86.9142779
